% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 76.88   36.790563        1792     20529        17 futex
 19.13    9.156806        1088      8414           ioctl
  1.23    0.590490         388      1523           munmap
  1.20    0.575086         165      3495           epoll_wait
  1.04    0.498988          15     33413           clock_gettime
  0.10    0.047617          53       898       215 madvise
  0.06    0.030531           5      5825           getpid
  0.05    0.024722          31       793           gettimeofday
  0.05    0.022099           5      4329           writev
  0.04    0.020402          17      1227           sigprocmask
  0.04    0.020000          10      2063      1560 recvfrom
  0.02    0.011264          41       272         9 stat64
  0.02    0.011241          42       265           brk
  0.02    0.010971           3      3166           getuid32
  0.02    0.010000          35       285           fcntl64
  0.02    0.010000          99       101           nanosleep
  0.01    0.007040           8       905           mprotect
  0.01    0.006914           4      1546           mmap2
  0.01    0.003031           6       549       180 open
  0.01    0.002981           2      1468           read
  0.01    0.002519           2      1073           pread64
  0.00    0.001370           2       739           lseek
  0.00    0.000641           4       167           fstat64
  0.00    0.000000           0        46         1 access
  0.00    0.000000           0       264           dup
  0.00    0.000000           0         1           pipe
  0.00    0.000000           0       112           getpriority
  0.00    0.000000           0         1           setpriority
  0.00    0.000000           0         7           clone
  0.00    0.000000           0       178           flock
  0.00    0.000000           0       246           sched_setscheduler
  0.00    0.000000           0         4           sched_yield
  0.00    0.000000           0         6           prctl
  0.00    0.000000           0      2776           gettid
  0.00    0.000000           0         6           set_thread_area
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0       205           epoll_ctl
  0.00    0.000000           0         4           setsockopt
  0.00    0.000000           0       851           write
  0.00    0.000000           0       894           close
------ ----------- ----------- --------- --------- ----------------
100.00   47.855276                 98647      1982 total
